,Unnamed: 0,Airline,AirlineID,SourceAirport,SourceAirportID,DestAirport,DestAirportID,Codeshare,Stops,Equipment,SourceCountry,DestCountry,MeanPeriod,StdPeriod,Seats
0,84,2J,470,BKO,1044,ABJ,253,,0,M87,Mali,Côte d'Ivoire,0.4624203821656051,0.503669845955355,103
1,85,2J,470,BKO,1044,DKR,1084,,0,M87,Mali,Senegal,0.314878892733564,0.4663263658112017,136
2,86,2J,470,BKO,1044,OUA,246,,0,CRJ,Mali,Burkina Faso,0.6431095406360424,0.5822888419172604,93
3,91,2J,470,DKR,1084,BKO,1044,,0,M87,Senegal,Mali,0.33579335793357934,0.4722670629011439,135
4,92,2J,470,DKR,1084,OUA,246,,0,M87,Senegal,Burkina Faso,3.6262626262626263,3.64756971419551,109
5,97,2J,470,OUA,246,BKO,1044,,0,M87 CRJ,Burkina Faso,Mali,0.6169491525423729,0.6449681485691918,92
6,100,2J,470,OUA,246,DKR,1084,,0,M87,Burkina Faso,Senegal,3.642857142857143,3.750510169378593,109
7,282,3G,595,ACC,248,DKR,1084,,0,319,Ghana,Senegal,2.3483870967741933,1.8160344901765835,123
8,283,3G,595,ACC,248,LOS,273,,0,319,Ghana,Nigeria,0.15608919382504288,0.3629398812421892,128
9,284,3G,595,ACC,248,ROB,1063,,0,319,Ghana,Liberia,0.5696400625978091,0.5603640349502487,150
10,287,3G,595,BJL,1050,DKR,1084,,0,319,Gambia,Senegal,0.4795783926218709,0.4995827838828029,138
11,288,3G,595,BJL,1050,FNA,1059,,0,319,Gambia,Sierra Leone,1.1304347826086956,0.8534215736625448,133
12,289,3G,595,CKY,4162,OXB,5665,,0,319,Guinea,Guinea-Bissau,2.3333333333333335,0.47140452079103146,22
13,290,3G,595,DKR,1084,ACC,248,,0,319,Senegal,Ghana,1.7439613526570048,0.9962003942779396,124
14,291,3G,595,DKR,1084,BJL,1050,,0,319,Senegal,Gambia,0.5020689655172413,0.49999571936336534,137
15,292,3G,595,DKR,1084,DLA,897,,0,319,Senegal,Cameroon,2.2915565447001325,1.861611425059661,181
16,293,3G,595,DKR,1084,FNA,1059,,0,319,Senegal,Sierra Leone,2.9836065573770494,1.1378985992838226,243
17,294,3G,595,DKR,1084,LOS,273,,0,319,Senegal,Nigeria,1.8426395939086295,0.8127219022593282,82
18,295,3G,595,DKR,1084,OXB,5665,,0,319,Senegal,Guinea-Bissau,0.883495145631068,0.3765188238769962,64
19,296,3G,595,DLA,897,DKR,1084,,0,319,Cameroon,Senegal,2.2915565447001325,1.861611425059661,181
20,297,3G,595,DLA,897,LOS,273,,0,319,Cameroon,Nigeria,0.9191919191919192,0.4534217310598681,112
21,298,3G,595,FNA,1059,BJL,1050,,0,319,Sierra Leone,Gambia,1.2771929824561403,0.624364250372919,137
22,299,3G,595,FNA,1059,DKR,1084,,0,319,Sierra Leone,Senegal,3.25,0.8398554297360605,254
23,300,3G,595,FNA,1059,LGW,502,,0,319,Sierra Leone,United Kingdom,2.2915565447001325,1.861611425059661,181
24,301,3G,595,FNA,1059,ROB,1063,,0,319,Sierra Leone,Liberia,3.6129032258064515,0.7901579815429607,139
25,302,3G,595,LGW,502,FNA,1059,,0,319,United Kingdom,Sierra Leone,2.2915565447001325,1.861611425059661,181
26,303,3G,595,LOS,273,ACC,248,,0,319,Nigeria,Ghana,0.14875357580711074,0.3558454011108064,136
27,304,3G,595,LOS,273,DKR,1084,,0,319,Nigeria,Senegal,1.3944954128440368,0.4887420404354939,75
